{'stock_code': '600312', 'initial_cash': 50000, 'final_value': 51973.0, 'return_rate': 3.946000000000005, 'max_drawdown': 3.5700274617496914, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601865', 'initial_cash': 50000, 'final_value': 51800.0, 'return_rate': 3.600000000000003, 'max_drawdown': 6.84, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601186', 'initial_cash': 50000, 'final_value': 48763.0, 'return_rate': -2.4739999999999984, 'max_drawdown': 4.424, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601061', 'initial_cash': 50000, 'final_value': 52268.0, 'return_rate': 4.536000000000007, 'max_drawdown': 0.8231079948174682, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002670', 'initial_cash': 50000, 'final_value': 48583.0, 'return_rate': -2.834000000000003, 'max_drawdown': 2.97, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601555', 'initial_cash': 50000, 'final_value': 49178.0, 'return_rate': -1.644000000000001, 'max_drawdown': 10.58382766156728, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '603290', 'initial_cash': 50000, 'final_value': 50364.0, 'return_rate': 0.7279999999999953, 'max_drawdown': 0.0, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002851', 'initial_cash': 50000, 'final_value': 51952.99999999999, 'return_rate': 3.9059999999999873, 'max_drawdown': 3.392, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300454', 'initial_cash': 50000, 'final_value': 55472.0, 'return_rate': 10.943999999999999, 'max_drawdown': 0.0, 'total_trades': 1, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600862', 'initial_cash': 50000, 'final_value': 55834.0, 'return_rate': 11.667999999999989, 'max_drawdown': 4.0365994492315895, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000155', 'initial_cash': 50000, 'final_value': 51146.99999999999, 'return_rate': 2.293999999999996, 'max_drawdown': 5.172703353300131, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '300339', 'initial_cash': 50000, 'final_value': 57999.0, 'return_rate': 15.998000000000001, 'max_drawdown': 13.19853931575324, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '601881', 'initial_cash': 50000, 'final_value': 52244.0, 'return_rate': 4.488000000000003, 'max_drawdown': 0.264, 'total_trades': 2, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '600487', 'initial_cash': 50000, 'final_value': 50335.0, 'return_rate': 0.6699999999999928, 'max_drawdown': 3.036421526753126, 'total_trades': 3, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002273', 'initial_cash': 50000, 'final_value': 56066.99999999999, 'return_rate': 12.133999999999979, 'max_drawdown': 1.9647478888406098, 'total_trades': 6, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '002568', 'initial_cash': 50000, 'final_value': 55078.0, 'return_rate': 10.15600000000001, 'max_drawdown': 3.512063337210612, 'total_trades': 5, 'start_date': '20240101', 'end_date': '20241231'}
{'stock_code': '000733', 'initial_cash': 50000, 'final_value': 57116.0, 'return_rate': 14.232, 'max_drawdown': 3.7489867603350446, 'total_trades': 4, 'start_date': '20240101', 'end_date': '20241231'}
